Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 03/19 03:00:00,0.40336040251599997,1.0034470875,0.0,0.9799321777660001,0.0,0.01700422109,0.01700422109,0.01700422109,0.0236947292974,0.00425699856787,0.0425700903995,0.24518843831700002,0.0601159248441
 03/19 04:00:00,0.43215945416900003,1.0660611114299998,0.0,1.0364943231700001,0.0,0.0179857127153,0.0179857127153,0.0179857127153,0.0236947292974,0.00425699856787,0.0429105286091,0.235926412241,0.0968550727383
 03/19 05:00:00,0.627953734216,1.03253314338,0.0,0.9944180571529999,0.0,0.017255586543,0.017255586543,0.017255586543,0.0255174000776,0.004584459869630001,0.0450569114029,0.263274914433,0.26173446189
 03/19 06:00:00,0.998080076278,0.942265739004,0.0,0.874605718611,0.0,0.015176549299299999,0.015176549299299999,0.015176549299299999,0.040098775474300005,0.00720415192867,0.05195589407219999,0.30418827371199997,0.568926431792
 03/19 07:00:00,1.1537451505,1.24095839454,0.0,1.1385872856200001,0.0,0.019757275426,0.019757275426,0.019757275426,0.07108419704800001,0.012770997348499999,0.0614610617892,0.323222831237,0.639918787649
 03/19 08:00:00,1.03641036642,1.04270394119,0.0,0.9370957524,0.0,0.0162609042931,0.0162609042931,0.0162609042931,0.0565028185994,0.0101513047412,0.0699152063704,0.2732662339,0.599783898516
 03/19 09:00:00,0.88795537354,1.0229766828799998,0.0,0.916140129944,0.0,0.0158972729669,0.0158972729669,0.0158972729669,0.0291627416378,0.00523938247316,0.0732760434923,0.232571662639,0.521278270331
 03/19 10:00:00,0.8026144454199999,1.0201729505600001,0.0,0.923654202713,0.0,0.016027660515700003,0.016027660515700003,0.016027660515700003,0.0236947292974,0.00425699856787,0.0690396320483,0.238041363077,0.441024061914
 03/19 11:00:00,0.732174137676,0.927501344662,0.0,0.81762003435,0.0,0.014187708238600001,0.014187708238600001,0.014187708238600001,0.0236947292974,0.00425699856787,0.0680141542672,0.238114292416,0.37337625488799997
 03/19 12:00:00,0.6781321065539999,0.9329297621510001,0.0,0.809966482031,0.0,0.014054900378299998,0.014054900378299998,0.014054900378299998,0.0236947292974,0.00425699856787,0.0696477735838,0.234103178762,0.321844525965
 03/19 13:00:00,0.652452621649,0.9181377422229999,0.0,0.814664061839,0.0,0.0141364148825,0.0141364148825,0.0141364148825,0.0236947292974,0.00425699856787,0.0679451679306,0.24219833540999997,0.28969097555999995
 03/19 14:00:00,0.6355144856539999,0.896740603915,0.0,0.796335320724,0.0,0.0138183663754,0.0138183663754,0.0138183663754,0.0236947292974,0.00425699856787,0.06480334436480001,0.255836121837,0.262574925212
 03/19 15:00:00,0.661172933695,0.818672525186,0.0,0.69323902759,0.0,0.0120293934222,0.0120293934222,0.0120293934222,0.027340070857700002,0.0049119211714,0.0670981930519,0.27005734297600004,0.269206012216
 03/19 16:00:00,0.777558649738,0.7990030949079999,0.0,0.6033707798610001,0.0,0.0104699594246,0.0104699594246,0.0104699594246,0.041921440150599995,0.00753161213383,0.0764837956789,0.31943050559999997,0.31119133675
 03/19 17:00:00,1.0039469589399999,1.25283385887,0.0,0.942924430443,0.0,0.0163620461194,0.0163620461194,0.0163620461194,0.0838428803013,0.0150632242677,0.09358748545830001,0.38805701376699997,0.396504309031
 03/19 18:00:00,1.22999965639,0.678538238248,0.0,0.42912636708499996,0.0,0.00744639250251,0.00744639250251,0.00744639250251,0.162217766574,0.029144067919900003,0.0956254121941,0.421312792432,0.47372322477300005
 03/19 19:00:00,1.3122585599799999,0.5173450066040001,0.0,0.373899368586,0.0,0.006488068943060001,0.006488068943060001,0.006488068943060001,0.242415287003,0.043552366294099996,0.0879353232816,0.434877649519,0.486459864939
 03/19 20:00:00,1.29866536376,0.558289964357,0.0,0.460578035021,0.0,0.007992155900600002,0.007992155900600002,0.007992155900600002,0.260641994805,0.0468269793118,0.0783570511729,0.44982816405000003,0.44448901851899997
 03/19 21:00:00,1.17857224654,0.691734316506,0.0,0.614789685599,0.0,0.0106681053802,0.0106681053802,0.0106681053802,0.218720554654,0.0392953671779,0.07120257812210001,0.439326339209,0.388829301998
 03/19 22:00:00,0.968093188936,0.820458201817,0.0,0.764958975216,0.0,0.013273910005700001,0.013273910005700001,0.013273910005700001,0.16404043125,0.029471528125,0.06218444132680001,0.380180645135,0.30841223309300003
 03/19 23:00:00,0.761856034734,0.947636475999,0.0,0.90491165331,0.0,0.0157024314223,0.0157024314223,0.0157024314223,0.114828301875,0.0206300696875,0.0544500091918,0.330369906477,0.21534531608100002
 03/20 00:00:00,0.523657833313,1.0696491214700001,0.0,1.03751691466,0.0,0.0180034571798,0.0180034571798,0.0180034571798,0.058325483275699995,0.0104787649463,0.0485932653724,0.2732662339,0.104460628639
 03/20 01:00:00,0.43168240335,1.1664349910299998,0.0,1.1357909274,0.0,0.0197087517685,0.0197087517685,0.0197087517685,0.034630750926300004,0.00622176583015,0.046130409106,0.25160622016399997,0.062854505555
 03/20 02:00:00,0.405173029525,1.22744630204,0.0,1.20369088432,0.0,0.0208869821662,0.0208869821662,0.0208869821662,0.0236947292974,0.00425699856787,0.04399866156880001,0.24868904659699997,0.0531166113279
 03/20 03:00:00,0.40660238531,1.3791254746500001,0.0,1.35561056492,0.0,0.0235231603583,0.0235231603583,0.0235231603583,0.0236947292974,0.00425699856787,0.042470157715099995,0.24518843831700002,0.056938901054600005
 03/20 04:00:00,0.431817043802,1.4344499022400001,0.0,1.40488311398,0.0,0.024378159649999998,0.024378159649999998,0.024378159649999998,0.0236947292974,0.00425699856787,0.0427496529025,0.235926412241,0.0902810911428
 03/20 05:00:00,0.614840566767,1.4611346131999998,0.0,1.42301952698,0.0,0.0246928707937,0.0246928707937,0.0246928707937,0.0255174000776,0.004584459869630001,0.0447567874514,0.263274914433,0.241484134142
 03/20 06:00:00,0.964404530561,1.73752182759,0.0,1.6698618072,0.0,0.028976188356400003,0.028976188356400003,0.028976188356400003,0.040098775474300005,0.00720415192867,0.0513555313521,0.30418827371199997,0.522051609738
